inst, count, per/%
add,312109380,16.332
addi,310138446,16.229
lw,307296426,16.08
slli,128931151,6.747
sw,104129880,5.449
beq,70786513,3.704
bne,66670812,3.489
mul,59605341,3.119
srai,45080701,2.359
bge,38844382,2.033
sll,33492093,1.753
jal,33123098,1.733
bltu,31625383,1.655
and,30335479,1.587
srl,30003224,1.57
andi,29821832,1.56
jalr,28508577,1.492
or,27913581,1.461
xori,26857747,1.405
lbu,24919557,1.304
lui,22866591,1.197
lhu,22561153,1.181
bgeu,20963648,1.097
xor,20889752,1.093
auipc,17342225,0.907
sb,16608028,0.869
sub,16142375,0.845
srli,15697586,0.821
blt,11658266,0.61
lb,3429067,0.179
mulhu,1165550,0.061
sh,1005850,0.053
mulh,504716,0.026
sltiu,16481,0.001
sltu,166,0
slt,120,0
divu,35,0
remu,28,0
div,19,0
ori,2,0
ebreak,1,0
unknow,0,0
./instAnaly pc_trace.bin.gz microbench-riscv32-nemu.elf.disasm,,
total_inst: 1911045262,,
riscv32-nemu,,
microbench ref,,
date: 2024.12.22,,
